idligne,nomcourtligne,date,resolution,image
0002,C2,2015-08-31,1:22,0002.png
0003,C3,2015-08-31,1:22,0003.png
0004,C4,2015-08-31,1:22,0004.png
0001,1,2015-08-31,1:22,0001.png
0005,5,2015-08-31,1:22,0005.png
0006,6,2015-08-31,1:22,0006.png
0009,9,2015-08-31,1:22,0009.png
0011,11,2015-08-31,1:22,0011.png
0012,12,2015-08-31,1:22,0012.png
0014,14,2015-08-31,1:22,0014.png
0031,31,2015-08-31,1:22,0031.png
0032,32,2015-08-31,1:22,0032.png
0033,33,2015-08-31,1:22,0033.png
0034,34,2015-08-31,1:22,0034.png
0035,35,2015-08-31,1:22,0035.png
0036,36,2015-08-31,1:22,0036.png
0037,37,2015-08-31,1:22,0037.png
0040,40,2015-08-31,1:22,0040.png
0041,41,2015-08-31,1:22,0041.png
0044,44,2015-08-31,1:22,0044.png
0050,50,2015-08-31,1:22,0050.png
0051,51,2015-08-31,1:22,0051.png
0052,52,2015-08-31,1:22,0052.png
0053,53,2015-08-31,1:22,0053.png
0054,54,2015-08-31,1:22,0054.png
0055,55,2015-08-31,1:22,0055.png
0056,56,2015-08-31,1:22,0056.png
0057,57,2015-08-31,1:22,0057.png
0059,59,2015-08-31,1:22,0059.png
0061,61,2015-08-31,1:22,0061.png
0063,63,2015-08-31,1:22,0063.png
0064,64,2015-08-31,1:22,0064.png
0065,65,2015-08-31,1:22,0065.png
0067,67,2015-08-31,1:22,0067.png
0068,68,2015-08-31,1:22,0068.png
0070,70,2015-08-31,1:22,0070.png
0071,71,2015-08-31,1:22,0071.png
0072,72,2015-08-31,1:22,0072.png
0073,73,2015-08-31,1:22,0073.png
0074,74,2015-08-31,1:22,0074.png
0075,75,2015-08-31,1:22,0075.png
0076,76,2015-08-31,1:22,0076.png
0077,77,2015-08-31,1:22,0077.png
0078,78,2015-08-31,1:22,0078.png
0079,79,2015-08-31,1:22,0079.png
0081,81,2015-08-31,1:22,0081.png
0082,82,2015-08-31,1:22,0082.png
0091,91,2015-08-31,1:22,0091.png
0094,94,2015-08-31,1:22,0094.png
0095,95,2015-08-31,1:22,0095.png
0158,KL,2015-08-31,1:22,0158.png
0150,150,2015-08-31,1:22,0150.png
0151,151,2015-08-31,1:22,0151.png
0152,152,2015-08-31,1:22,0152.png
0153,153,2015-08-31,1:22,0153.png
0154,154,2015-08-31,1:22,0154.png
0155,155,2015-08-31,1:22,0155.png
0156,156,2015-08-31,1:22,0156.png
0157,157,2015-08-31,1:22,0157.png
0159,159,2015-08-31,1:22,0159.png
0161,161,2015-08-31,1:22,0161.png
0164,164,2015-08-31,1:22,0164.png
0167,167,2015-08-31,1:22,0167.png
0168,168,2015-08-31,1:22,0168.png
0172,172,2015-08-31,1:22,0172.png
0173,173,2015-08-31,1:22,0173.png
0200,200,2015-08-31,1:22,0200.png
0201,201,2015-08-31,1:22,0201.png
0202,202,2015-08-31,1:22,0202.png
0203,203,2015-08-31,1:22,0203.png
0204,204,2015-08-31,1:22,0204.png
0205,205,2015-08-31,1:22,0205.png
0206,206,2015-08-31,1:22,0206.png
0207,207,2015-08-31,1:22,0207.png
0208,208,2015-08-31,1:22,0208.png
0210,210,2015-08-31,1:22,0210.png
0211,211,2015-08-31,1:22,0211.png
0212,212,2015-08-31,1:22,0212.png
0213,213,2015-08-31,1:22,0213.png
0214,214,2015-08-31,1:22,0214.png
0215,215,2015-08-31,1:22,0215.png
0216,216,2015-08-31,1:22,0216.png
0217,217,2015-08-31,1:22,0217.png
0220,220,2015-08-31,1:22,0220.png
0221,221,2015-08-31,1:22,0221.png
0222,222,2015-08-31,1:22,0222.png
0223,223,2015-08-31,1:22,0223.png
0224,224,2015-08-31,1:22,0224.png
0225,225,2015-08-31,1:22,0225.png
0226,226,2015-08-31,1:22,0226.png
0227,227,2015-08-31,1:22,0227.png
0228,228,2015-08-31,1:22,0228.png
0229,229,2015-08-31,1:22,0229.png
0230,230,2015-08-31,1:22,0230.png
0231,231,2015-08-31,1:22,0231.png
0232,232,2015-08-31,1:22,0232.png
0233,233,2015-08-31,1:22,0233.png
0234,234,2015-08-31,1:22,0234.png
0235,235,2015-08-31,1:22,0235.png
0236,236,2015-08-31,1:22,0236.png
0238,238,2015-08-31,1:22,0238.png
0239,239,2015-08-31,1:22,0239.png
0240,240,2015-08-31,1:22,0240.png
0241,241,2015-08-31,1:22,0241.png
0242,242,2015-08-31,1:22,0242.png
0243,243,2015-08-31,1:22,0243.png
0244,244,2015-08-31,1:22,0244.png
0370,RPI-1,2015-08-31,1:22,0370.png
0301,Ts1,2015-08-31,1:22,0301.png
0302,Ts2,2015-08-31,1:22,0302.png
0303,Ts3,2015-08-31,1:22,0303.png
0304,Ts4,2015-08-31,1:22,0304.png
0305,Ts5,2015-08-31,1:22,0305.png
0306,Ts6,2015-08-31,1:22,0306.png
0307,Ts7,2015-08-31,1:22,0307.png
0308,Ts8,2015-08-31,1:22,0308.png
0309,Ts9,2015-08-31,1:22,0309.png
0310,Ts10,2015-08-31,1:22,0310.png
0311,Ts11,2015-08-31,1:22,0311.png
0312,Ts12,2015-08-31,1:22,0312.png
0331,Ts31,2015-08-31,1:22,0331.png
0332,Ts32,2015-08-31,1:22,0332.png
0333,Ts33,2015-08-31,1:22,0333.png
0335,Ts35,2015-08-31,1:22,0335.png
0336,Ts36,2015-08-31,1:22,0336.png
0337,Ts37,2015-08-31,1:22,0337.png
0341,Ts41,2015-08-31,1:22,0341.png
0342,Ts42,2015-08-31,1:22,0342.png
0343,Ts43,2015-08-31,1:22,0343.png
0344,Ts44,2015-08-31,1:22,0344.png
0345,Ts45,2015-08-31,1:22,0345.png
0346,Ts46,2015-08-31,1:22,0346.png
0351,Ts51,2015-08-31,1:22,0351.png
0353,Ts53,2015-08-31,1:22,0353.png
0354,Ts54,2015-08-31,1:22,0354.png
0355,Ts55,2015-08-31,1:22,0355.png
0356,Ts56,2015-08-31,1:22,0356.png
0361,Ts61,2015-08-31,1:22,0361.png
0365,Ts65,2015-08-31,1:22,0365.png
0366,Ts66,2015-08-31,1:22,0366.png
0367,Ts67,2015-08-31,1:22,0367.png
0371,Ts71,2015-08-31,1:22,0371.png
0381,Ts81,2015-08-31,1:22,0381.png
0382,Ts82,2015-08-31,1:22,0382.png
0391,Ts91,2015-08-31,1:22,0391.png
0121,N1,2015-08-31,1:22,0121.png
0122,N2,2015-08-31,1:22,0122.png
0803,API,2015-08-31,1:22,0803.png
0999,IND,2015-08-31,1:22,0999.png
0901,NAV,2015-08-31,1:22,0901.png
0801,S,2015-08-31,1:22,0801.png
0810,SP,2015-08-31,1:22,0810.png
0806,STADE,2015-08-31,1:22,0806.png